Epoch	train_cost	val_cost	epoch_time	learing_rate
568	0.144333	0.137145	41.4959s	1.5625e-05
569	0.144653	0.137132	42.0208s	1.5625e-05
570	0.144221	0.137146	41.9233s	1.5625e-05
571	0.144752	0.137132	41.8643s	1.5625e-05
572	0.14414	0.137104	41.7198s	1.5625e-05
573	0.144593	0.137114	41.937s	1.5625e-05
574	0.144182	0.13709	41.6147s	1.5625e-05
575	0.144565	0.137167	42.5156s	1.5625e-05
576	0.144171	0.136999	41.4629s	1.5625e-05
577	0.144675	0.137289	43.1783s	1.5625e-05
578	0.144319	0.13702	43.9343s	1.5625e-05
579	0.14439	0.137214	42.2134s	1.5625e-05
580	0.144308	0.137095	41.7974s	1.5625e-05
581	0.144491	0.136912	41.4924s	1.5625e-05
582	0.144507	0.137062	41.9792s	1.5625e-05
583	0.144043	0.137164	41.8521s	1.5625e-05
584	0.144095	0.137072	42.3277s	1.5625e-05
585	0.144552	0.137121	42.3256s	1.5625e-05
